Data: bioavailability.csv
Input data size: (359, 242)
Ground complexity: 151876620329.0
Ground complexity on training data: 108871574822.0
Run GP with parameters:  {'const_range': (-1.0, 1.0), 'first_tournament': 'fitness', 'function_set': ('add', 'sub', 'mul', 'div'), 'generations': 500, 'init_depth': (2, 6), 'init_method': 'half and half', 'max_samples': 1.0, 'metric': 'mean absolute error', 'n_jobs': 2, 'p_crossover': 0.7, 'p_hoist_mutation': 0.05, 'p_point_mutation': 0.1, 'p_point_replace': 0.05, 'p_subtree_mutation': 0.1, 'parsimony_coefficient': 0.001, 'population_size': 200, 'random_state': 42, 'safe_best_program_to_file': (True,), 'second_tournament': 'complexity', 'second_tournament_size': 1.4, 'stopping_criteria': 0.01, 'tournament_size': 10, 'verbose': 1, 'warm_start': False}
    |    Population Average   |                                            Best Individual                                              |
---- ------------------------- --------------------------------------------------------------------------------------------------------- ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness       Complexity                                       Program  Time Left
  84   189.76    50.6200418665      233      23.46696904              N/A    1.04731093608                 str too long - check pdf-file    177.41m
  85   192.45    220.527730924      183        23.445292              N/A   0.922518185029                 str too long - check pdf-file    176.96m
  86   205.27    136.892341854      181    23.4346483369              N/A    0.91878626648                 str too long - check pdf-file    176.30m
  87   209.91    36.9868735817      231    23.3707007105              N/A    1.18369919228                 str too long - check pdf-file    175.93m
  88   220.84    74.4362660076      231    23.3707007105              N/A    1.18369919228                 str too long - check pdf-file    175.52m
  89   219.39    114.408842037      229    23.3594048266              N/A   0.975424295268                 str too long - check pdf-file    175.24m
  90   220.04    36.6485041598      229    23.3594048266              N/A   0.975424295268                 str too long - check pdf-file    174.73m
  91   215.99    47.7771633161      235     23.340618267              N/A   0.991058461207                 str too long - check pdf-file    174.28m
  92   218.22    137.904255246      285    23.3331943626              N/A   0.990739959747                 str too long - check pdf-file    173.69m
  93   227.26    84.0492672775      251    23.1640148398              N/A    1.03298725006                 str too long - check pdf-file    173.21m
  94   218.48    105.599349065      253    23.1624035251              N/A    1.04285971848                 str too long - check pdf-file    172.69m
  95   217.65    172.265106018      251     23.159136777              N/A    1.04250448352                 str too long - check pdf-file    172.24m
  96   212.11    36.2727413109      235    23.1556306139              N/A    1.04396371593                 str too long - check pdf-file    171.67m
  97   212.44     43.481261037      253    23.1548924459              N/A    1.02250126433                 str too long - check pdf-file    171.17m
  98   220.84    39.1967735499      189    23.1427448635              N/A    1.05700790623                 str too long - check pdf-file    170.75m
  99   230.04    47.3489531878      201    23.1411408072              N/A   0.993542117408                 str too long - check pdf-file    170.22m
 100   228.33    266.661953913      247    23.1239514489              N/A    1.04285020478                 str too long - check pdf-file    169.89m
 101   222.11    185.355822025      263    23.1349615311              N/A    1.02213758265                 str too long - check pdf-file    169.52m
 102   219.65    45.7596345099      201    23.0775022696              N/A    1.03106113341                 str too long - check pdf-file    168.94m
 103   198.67    49.1352758448      201    22.9703049298              N/A    1.05536682487                 str too long - check pdf-file    168.52m
 104   203.23     48.268766657      201    22.9703049298              N/A    1.05536682487                 str too long - check pdf-file    168.36m
 105   203.62    215.870186953      229    22.9032351756              N/A    1.17278435182                 str too long - check pdf-file    167.96m
 106    209.4    121.951679279      213    22.9273677568              N/A    1.16882367406                 str too long - check pdf-file    167.41m
